[MJ2006] J234251.6-032555.5                   23.7143 -2.56778
[MJ2006] J214811.4+065726.4                   21.8032 6.95722
[MJ2006] J234256.1-032425.6                   23.7156 -2.59278
[MJ2006] J234621.3+092838.8                   23.7726 9.4775
[MJ2006] J091935.2+510817.3                   9.32644 51.1381
[MJ2006] J041722.9-055209.7                   4.28969 -4.13056
[MJ2006] J011028.1-021852.4                   1.17447 -1.68556
[MJ2006] J101006.2+413104.5                   10.1684 41.5181
[MJ2006] J041704.4-055340.9                   4.28456 -4.10528
[MJ2006] J171921.9+480702.9                   17.3228 48.1175
[MJ2006] J002700.0+224250.7                   0.45 22.7142
[PBF2006d] Host Galaxy                        21.3908 -52.9661
[MJ2006] J234624.2+093116.0                   23.7734 9.52111
[MJ2006] J012540.7-000735.1                   1.42797 0.126389
[MJ2006] J101018.1+413114.8                   10.1717 41.5208
[MJ2006] J092010.0+510636.7                   9.33611 51.1103
[MJ2006] J171917.6+480525.3                   17.3216 48.0903
[PEI2004] Galaxy                              11.9215 63.7728
[MJ2006] J225344.9+160732.0                   22.8958 16.1256
[MJ2006] J041712.4-055123.9                   4.28678 -4.14333
[MJ2006] J234309.2-032345.3                   23.7192 -2.60417
[GMV2015] ASW0009io9                          2.16146 0.266222
[MJ2006] J162009.0+173611.9                   16.3358 17.6033
[MJ2006] J162035.7+173904.1                   16.3433 17.6511
[MJ2006] J234652.2+093028.7                   23.7812 9.50806
[MJ2006] J011023.8-021936.8                   1.17328 -1.67306
[MJ2006] J092013.8+510504.0                   9.33717 51.0844
[MJ2006] J234303.7-031905.7                   23.7177 -2.68167
[MJ2006] J234650.5+092750.9                   23.7807 9.46417
[MJ2006] J100354.7+681032.3                   10.0652 68.1756
[MJ2006] J234631.8+092732.6                   23.7755 9.45917
[MJ2006] J002728.1+224123.2                   0.457806 22.6897
[MJ2006] J234648.4+092811.9                   23.7801 9.47
[MJ2006] J214818.7+065608.1                   21.8052 6.93556
[MJ2006] J214800.2+065826.2                   21.8001 6.97389
[MJ2006] J230431.1+031408.1                   23.0753 3.23556
[MJ2006] J100334.0+681616.5                   10.0594 68.2711
[MJ2006] J011014.2-022010.2                   1.17061 -1.66389
[TSC98] Host G                                19.5817 -51.1683
[MJ2006] J234628.7+092946.1                   23.7747 9.49611
[MJ2006] J214817.4+065618.4                   21.8048 6.93833
[DBM2003] nearby G                            8.14996 6.72562
[MJ2006] J002701.5+224053.7                   0.450417 22.6817
[MJ2006] J012516.8-000457.6                   1.42133 0.0827778
[MJ2006] J101031.5+413538.7                   10.1754 41.5942
[MJ2006] J234259.6-032409.4                   23.7166 -2.5975
[MJ2006] J214806.1+065718.9                   21.8017 6.95528
[MJ2006] J234630.3+093258.4                   23.7751 9.54945
[MJ2006] J162018.3+173834.0                   16.3384 17.6428
[MJ2006] J234622.9+092819.2                   23.773 9.47194
[MJ2006] J214756.4+065942.8                   21.799 6.99528
[MJ2006] J230431.9+031046.9                   23.0755 3.17972
[MJ2006] J171929.5+480320.0                   17.3249 48.0556
[MJ2006] J230450.0+031010.0                   23.0806 3.16944
[MJ2006] J041713.0-055515.8                   4.28694 -4.07889
[MJ2006] J234257.0-032533.0                   23.7158 -2.57417
[MJ2006] J041714.9-055541.5                   4.28747 -4.07194
[MJ2006] J092009.0+510357.0                   9.33583 51.0658
[MJ2006] J020205.2-113510.7                   2.03478 -10.4136
[MJ2006] J214755.1+065806.1                   21.7986 6.96833
[MJ2006] J162029.3+173735.1                   16.3415 17.6264
[MJ2006] J091931.9+510223.6                   9.32553 51.04
[MJ2006] J214750.2+065526.4                   21.7973 6.92389
[MJ2006] J234245.7-032313.5                   23.7127 -2.61278
[MJ2006] J041716.6-055519.9                   4.28794 -4.07778
[MJ2006] J230442.4+030802.7                   23.0784 3.13417
[MJ2006] J214802.1+065717.5                   21.8006 6.95472
[MJ2006] J230436.3+031302.9                   23.0768 3.2175
[MJ2006] J234312.7-032109.5                   23.7202 -2.64722
[MJ2006] J041711.9-055246.5                   4.28664 -4.12056
[MJ2006] J100336.6+681614.8                   10.0602 68.2708
[MJ2006] J041728.8-055356.1                   4.29133 -4.10111
[MJ2006] J230428.6+031350.7                   23.0746 3.23083
[MJ2006] J225354.8+160643.3                   22.8986 16.1119
[MJ2006] J091956.2+510516.4                   9.33231 51.0881
[MJ2006] J020146.1-113610.9                   2.02947 -10.3969
[MJ2006] J225414.6+160859.6                   22.9041 16.15
[S78f] TDG                                    12.0228 -18.9967
[MJ2006] J214820.2+065835.0                   21.8056 6.97639
[MJ2006] J214747.3+065826.6                   21.7965 6.97417
[CZC2013] MACS0647-JD                         6.79722 70.2486
[MJ2006] J234655.2+093054.6                   23.782 9.51528
[MJ2006] J041734.8-055637.5                   4.293 -4.05611
[MJ2006] J002716.4+223959.6                   0.454556 22.6667
[MJ2006] J214818.3+065539.6                   21.8051 6.92778
[MJ2006] J162038.0+173600.8                   16.3439 17.6003
[MJ2006] J091959.4+510302.7                   9.33317 51.0508
[MJ2006] J214812.9+070026.2                   21.8036 7.00722
[MJ2006] J214759.6+065814.0                   21.7999 6.97056
[MJ2006] J041716.4-055113.6                   4.28789 -4.14611
[SPA2009] GRB 060111B Host G                  19.0952 70.3759
[WHP2001] Gal                                 20.0686 -12.1748
[MJ2006] J091942.1+510527.7                   9.32836 51.0911
[MJ2006] J214820.5+070010.1                   21.8057 7.00278
[MJ2006] J101013.6+413119.6                   10.1704 41.5222
[MJ2006] J041703.3-055305.2                   4.28425 -4.11528
[MJ2006] J011026.8-022051.3                   1.17411 -1.6525
[MJ2006] J041729.3-055247.5                   4.29147 -4.12028
[MJ2006] J020148.4-113403.0                   2.03011 -10.4325
[MJ2006] J234619.7+092822.4                   23.7721 9.47278
[MJ2006] J234631.3+093226.3                   23.7754 9.54056
[MJ2006] J002711.5+224012.5                   0.453194 22.6701
[MJ2006] J214817.2+065636.8                   21.8048 6.94361
[MJ2006] J101036.6+413539.4                   10.1768 41.5942
[MJ2006] J012524.9-000755.2                   1.42358 0.131944
[CS2001] companion galaxy                     4.87506 -28.1065
[MJ2006] J230439.0+031153.0                   23.0775 3.198
[MJ2006] J214816.4+065812.8                   21.8046 6.97028
[MJ2006] J101024.7+413205.6                   10.1735 41.535
[MJ2006] J092014.9+510342.5                   9.33747 51.0617
[MJ2006] J171915.9+480400.2                   17.3211 48.0667
[MJ2006] J162040.4+173803.8                   16.3446 17.6344
[MJ2006] J214822.5+065700.5                   21.8062 6.95
[MJ2006] J214753.3+065450.0                   21.7981 6.91389
[WSR2004] Host G                              2.10626 16.1469
[MJ2006] J101051.0+412857.5                   10.1808 41.4828
[MJ2006] J171927.8+480628.9                   17.3244 48.1081
[MJ2006] J012524.2-000832.4                   1.42339 0.142222
[MJ2006] J234654.1+092803.6                   23.7817 9.46778
[MJ2006] J012512.5-000832.6                   1.42014 0.1425
[MJ2006] J234646.6+092910.4                   23.7796 9.48611
[MJ2006] J041723.7-055641.4                   4.28992 -4.05528
[MJ2006] J020152.5-113019.7                   2.03125 -10.4944
[MJ2006] J230456.4+030832.4                   23.0823 3.14222
[MJ2006] J162002.3+173742.6                   16.334 17.6286
[MJ2006] J010959.4-021756.8                   1.1665 -1.70083
[MJ2006] J101041.9+413303.8                   10.1783 41.5511
[MJ2006] J214811.0+065732.6                   21.8031 6.95917
[MJ2006] J012519.5-000322.8                   1.42208 0.0563889
[SKM2004] dwarf G                             12.485 2.05333
[MJ2006] J012539.8-000503.2                   1.42772 0.0841667
[MJ2006] J092025.0+510716.3                   9.34028 51.1211
[MJ2006] J234251.8-032542.6                   23.7144 -2.57139
[MJ2006] J012530.4-000308.8                   1.42511 0.0525
[BCR2006] G*                                  18.596 52.6269
[MJ2006] J234300.6-032542.5                   23.7168 -2.57167
[MJ2006] J225415.6+160604.9                   22.9043 16.1014
[MJ2006] J171952.5+480509.3                   17.3313 48.0858
[MJ2006] J092009.4+510742.9                   9.33594 51.1286
[MJ2006] J214810.0+065759.1                   21.8028 6.96639
[MJ2006] J234313.2-032400.8                   23.7203 -2.59972
[RSG2005] GRB 030528 Host G                   17.0672 -21.35
[MJ2006] J020202.8-113303.1                   2.03411 -10.4492
[MJ2006] J092000.3+510505.8                   9.33342 51.085
[MJ2006] J041722.0-055042.2                   4.28944 -4.155
[MJ2006] J012523.8-000742.8                   1.42328 0.128611
[MJ2006] J092021.0+510251.6                   9.33917 51.0478
[MJ2006] J171949.8+480135.4                   17.3305 48.0264
[MJ2006] J234635.2+093241.5                   23.7764 9.54472
[MJ2006] J012546.7-000406.5                   1.42964 0.0683333
[MJ2006] J230452.1+031028.5                   23.0811 3.17444
[MJ2006] J214754.0+065528.0                   21.7983 6.92444
[MJ2006] J101032.5+413242.5                   10.1757 41.545
[MJ2006] J020208.8-113106.9                   2.03578 -10.4814
[MJ2006] J214808.2+065712.6                   21.8023 6.95389
[MJ2006] J225340.0+160755.5                   22.8944 16.1322
[MJ2006] J100238.3+681136.2                   10.044 68.1933
[MJ2006] J162031.9+173535.3                   16.3422 17.5931
[MJ2006] J234621.3+093052.4                   23.7726 9.51444
[MJ2006] J230453.7+031511.1                   23.0816 3.25306
[MJ2006] J234650.1+093308.4                   23.7806 9.55222
[PBK2002] GRB 000911 Host Galaxy              2.30954 7.74101
[MJ2006] J012544.3-000926.3                   1.42897 0.157222
[MJ2006] J171924.7+480206.3                   17.3235 48.035
[MJ2006] J041729.1-055213.8                   4.29142 -4.12944
[MJ2006] J214749.5+065918.0                   21.7971 6.98833
[MJ2006] J002730.1+224449.0                   0.458361 22.7469
[MJ2006] J225408.3+160908.4                   22.9023 16.1522
[MJ2006] J011020.8-022142.1                   1.17244 -1.63833
[MJ2006] J012522.5-000730.4                   1.42292 0.125
[MJ2006] J162019.4+173825.7                   16.3387 17.6406
[MJ2006] J041728.1-055341.0                   4.29114 -4.10528
[MJ2006] J041724.0-055544.2                   4.29 -4.07111
[MJ2006] J230458.2+030812.4                   23.0828 3.13667
[MJ2006] J002712.9+224142.1                   0.453611 22.695
[MJ2006] J002659.4+224010.5                   0.449833 22.6694
[MJ2006] J234239.9-032219.8                   23.7111 -2.62778
[MJ2006] J234252.8-032008.2                   23.7147 -2.66444
[MJ2006] J234651.2+093324.3                   23.7809 9.55667
[MJ2006] J214757.0+065635.8                   21.7992 6.94333
[MJ2006] J230448.8+031105.3                   23.0802 3.18472
[MJ2006] J234632.4+093157.1                   23.7757 9.5325
[MJ2006] J092015.6+510310.6                   9.33767 51.0531
[DHB2007] BD 00                               12.8786 -28.5111
[MJ2006] J214805.5+065913.8                   21.8015 6.98722
[MJ2006] J091948.6+510700.4                   9.33017 51.1167
[MJ2006] J225345.6+160615.1                   22.896 16.1042
[MJ2006] J041732.4-055602.7                   4.29233 -4.06583
[MJ2006] J234643.3+093023.6                   23.7787 9.50667
[MJ2006] J234642.4+093407.2                   23.7784 9.56861
[MJ2006] J041700.1-055158.9                   4.28336 -4.13361
[MJ2006] J172002.1+480242.7                   17.3339 48.0453
[MJ2006] J234633.7+093314.2                   23.776 9.55389
[MJ2006] J230456.0+031109.2                   23.0822 3.18583
[MJ2006] J230452.1+030919.5                   23.0811 3.15528
[MJ2006] J171948.2+480502.0                   17.3301 48.0839
[MJ2006] J171934.7+480540.7                   17.3262 48.0939
[DHB2007] UDF PFs1 i0                         3.54322 -26.0396
[MJ2006] J002703.4+223958.7                   0.450944 22.6664
[MJ2006] J020215.1-113016.5                   2.03753 -10.4953
[MJ2006] J101046.3+413410.2                   10.1795 41.5694
[MJ2006] J230448.1+030941.1                   23.08 3.16139
[MJ2006] J041726.8-055424.9                   4.29078 -4.09306
[MJ2006] J002724.9+224044.9                   0.456917 22.6792
[MJ2006] J214819.0+065555.3                   21.8053 6.93194
[MJ2006] J214751.7+065933.2                   21.7977 6.9925
[MJ2006] J234645.6+093026.8                   23.7793 9.5075
[MJ2006] J214820.7+065653.7                   21.8057 6.94833
[DLM2003b] FR-II                              8.58961 -44.8729
[MJ2006] J012529.8-000249.5                   1.42494 0.0469444
[MJ2006] J012540.4-000344.3                   1.42789 0.0622222
[MJ2006] J002710.7+224226.7                   0.452972 22.7075
[MJ2006] J101048.6+412945.3                   10.1802 41.4958
[MJ2006] J214749.2+065930.0                   21.797 6.99167
[MJ2006] J012518.6-000319.9                   1.42183 0.0555556
[MJ2006] J091942.6+510240.6                   9.3285 51.0447
[MJ2006] J162004.4+173419.6                   16.3346 17.5722
[MJ2006] J225355.9+160645.5                   22.8989 16.1125
[MJ2006] J162003.6+173431.2                   16.3343 17.5753
[MJ2006] J041718.0-055543.0                   4.28833 -4.07139
[MJ2006] J011009.8-022320.6                   1.16939 -1.61083
[LSH2012] TDG candidate                       10.2351 3.34639
[MJ2006] J234637.3+092809.2                   23.777 9.46917
[MJ2006] J214754.3+065732.0                   21.7984 6.95889
[MJ2006] J225402.8+160701.0                   22.9008 16.1169
[MJ2006] J230450.7+030955.6                   23.0808 3.16556
[MJ2006] J011000.1-022058.2                   1.16669 -1.65056
[MJ2006] J171927.1+480528.0                   17.3242 48.0911
[MJ2006] J162009.8+173417.0                   16.3361 17.5714
[MJ2006] J091930.9+510450.0                   9.32525 51.0806
[MJ2006] J101005.2+413124.8                   10.1681 41.5236
[MJ2006] J041659.4-055537.6                   4.28317 -4.07278
[KMK2013] Halogas                             2.45556 33.9583
[MJ2006] J092017.9+510809.6                   9.33831 51.1361
[CVJ2005] For J0332-3557 Lensed source        3.54972 -34.0358
[MJ2006] J225348.9+160637.4                   22.8969 16.1103
[MJ2006] J101015.5+413400.1                   10.171 41.5667
[MJ2006] J214811.7+065817.1                   21.8032 6.97139
[TSB2006]  52                                 12.6133 62.2082
[MJ2006] J214754.3+065657.1                   21.7984 6.94917
[MJ2006] J002733.4+224311.3                   0.459278 22.7197
[MJ2006] J234643.8+092736.3                   23.7788 9.46
[MJ2006] J002714.2+224000.3                   0.453944 22.6667
[MJ2006] J214757.6+065846.5                   21.7993 6.97972
[MJ2006] J162002.7+173824.1                   16.3341 17.64
[GFL2009] GRB 070714B Host Galaxy             3.85619 28.2978
[MJ2006] J101029.5+413028.6                   10.1749 41.5081
[MJ2006] J162034.5+173539.9                   16.3429 17.5944
[MJ2006] J214809.5+065938.2                   21.8026 6.99389
[MJ2006] J012534.8-000754.4                   1.42633 0.131667
[MJ2006] J162028.1+173636.6                   16.3411 17.6103
[MJ2006] J100232.4+681100.6                   10.0423 68.1836
[MJ2006] J230439.3+030821.0                   23.0776 3.13872
[MJ2006] J011004.6-021939.9                   1.16794 -1.67222
[MJ2006] J214748.1+065953.8                   21.7967 6.99833
[MJ2006] J234301.4-032317.1                   23.7171 -2.61194
[MJ2006] J101034.4+412926.0                   10.1762 41.4906
[MJ2006] J041724.2-055611.2                   4.29006 -4.06361
[MJ2006] J012517.3-000835.2                   1.42147 0.143056
[MJ2006] J020145.4-113615.8                   2.02928 -10.3956
[MJ2006] J092003.4+510330.5                   9.33428 51.0586
[MJ2006] J234635.4+093251.8                   23.7765 9.54778
[MJ2006] J091938.4+510750.9                   9.32733 51.1308
[MJ2006] J012514.1-000726.8                   1.42058 0.124167
[MJ2006] J234638.8+092938.5                   23.7775 9.49417
[MJ2006] J012538.5-000805.0                   1.42736 0.134722
[MJ2006] J100319.3+681203.3                   10.0554 68.2008
[MJ2006] J011002.6-021612.8                   1.16739 -1.72972
[MJ2006] J234627.9+093240.1                   23.7744 9.54445
[MBR2014] GHOSTS I                            9.88714 69.5007
[MJ2006] J214751.3+065721.7                   21.7976 6.95611
[MJ2006] J101043.1+413420.0                   10.1786 41.5722
[MJ2006] J041730.5-055552.1                   4.29181 -4.06889
[MJ2006] J225402.0+161011.4                   22.9006 16.1697
[MJ2006] J101033.2+413442.3                   10.1759 41.5783
[MJ2006] J230454.8+031001.4                   23.0819 3.16694
[MJ2006] J225358.8+160703.5                   22.8997 16.1178
[MJ2006] J225349.1+160638.7                   22.897 16.1108
[MJ2006] J225344.1+160958.0                   22.8956 16.1661
[MJ2006] J171912.2+480241.9                   17.3201 48.045
[SSF2013b] M60-UCD1                           12.7267 11.5346
[MJ2006] J101027.5+412918.7                   10.1743 41.4886
[MJ2006] J162018.9+173348.9                   16.3386 17.5636
[GSB2010] G1                                  8.83281 51.1407
[MJ2006] J162034.3+173701.0                   16.3429 17.6169
[MJ2006] J041731.1-055147.6                   4.29197 -4.13667
[MJ2006] J012547.5-000544.1                   1.42986 0.0955556
[MJ2006] J101022.9+413220.6                   10.173 41.5392
[MJ2006] J171926.3+480216.7                   17.324 48.0381
[MJ2006] J214816.7+065656.1                   21.8046 6.94889
[MJ2006] J214751.5+065451.0                   21.7976 6.91417
[MJ2006] J225343.2+161040.8                   22.8953 16.1781
[MJ2006] J041717.6-055641.6                   4.28822 -4.055
[MJ2006] J214823.5+065721.1                   21.8065 6.95583
[MJ2006] J162028.0+173636.3                   16.3411 17.61
[MJ2006] J162024.2+173500.2                   16.3401 17.5833
[NDT2002] V13 2(a)                            10.8123 45.7806
[HRP2007] EGS20 J1418+5236                    14.3 52.6
[MJ2006] J171913.6+480634.6                   17.3204 48.1097
[MJ2006] J230433.7+031000.5                   23.076 3.16667
[MJ2006] J092002.0+510838.3                   9.33389 51.1439
[MJ2006] J020204.5-113431.7                   2.03458 -10.4244
[MJ2006] J162025.5+173520.2                   16.3404 17.5889
[MJ2006] J230454.6+030859.7                   23.0818 3.15
[MJ2006] J101008.8+413221.7                   10.1691 41.5394
[MJ2006] J011003.0-021734.7                   1.1675 -1.70694
[MJ2006] J214749.4+065831.6                   21.7971 6.97556
[MJ2006] J011020.3-022336.6                   1.17231 -1.60639
[BBF2008] A1689-zD1                           13.1917 -0.678139
[MJ2006] J020156.4-113005.6                   2.03233 -10.4983
[MJ2006] J230430.3+031339.0                   23.0751 3.2275
[MPP2002] Host G                              13.9675 -30.6272
[MJ2006] J011025.4-022002.2                   1.17372 -1.66611
[MJ2006] J162040.2+173554.6                   16.3445 17.5986
[MJ2006] J234242.3-032325.4                   23.7118 -2.60972
[MJ2006] J012543.6-000806.2                   1.42878 0.135
[MJ2006] J041732.5-055228.3                   4.29236 -4.12556
[MJ2006] J011018.1-022100.4                   1.17169 -1.65
[MJ2006] J101037.8+412907.7                   10.1772 41.4856
[MJ2006] J002731.1+224347.9                   0.458639 22.73
[MJ2006] J020206.3-113313.7                   2.03508 -10.4461
[MJ2006] J100349.6+681043.0                   10.0638 68.1786
[MJ2006] J012525.5-000347.7                   1.42375 0.0633333
[MJ2006] J092005.0+510727.8                   9.33472 51.1244
[MJ2006] J214807.2+065642.9                   21.802 6.94525
[RLP2010] Quasar                              3.1889 1.31625
[MJ2006] J214755.6+065909.5                   21.7988 6.98611
[MJ2006] J011003.1-022233.5                   1.16753 -1.62389
[MJ2006] J011026.0-022001.8                   1.17389 -1.66611
[MJ2006] J234315.3-032038.3                   23.7209 -2.65611
[MJ2006] J234250.2-032034.1                   23.7139 -2.65722
[MJ2006] J020213.1-113119.1                   2.03697 -10.4781
[MJ2006] J012523.0-000513.4                   1.42306 0.0869444
[MJ2006] J101032.5+413253.7                   10.1757 41.5483
[MJ2006] J092022.4+510840.1                   9.33955 51.1444
[MJ2006] J234302.3-032353.8                   23.7173 -2.60167
[MJ2006] J041720.9-055221.5                   4.28903 -4.1275
[MJ2006] J041722.0-055030.1                   4.28944 -4.15833
[MJ2006] J225409.5+160603.1                   22.9026 16.1008
[MJ2006] J091943.2+510626.2                   9.32867 51.1072
[MJ2006] J012536.3-000511.9                   1.42675 0.0866667
[MJ2006] J225341.4+160907.7                   22.8948 16.1522
[MJ2006] J002705.0+224134.2                   0.451389 22.6928
[MJ2006] J234257.3-032354.1                   23.7159 -2.60167
[MJ2006] J100310.3+681009.5                   10.0529 68.1692
[MJ2006] J234248.9-032022.2                   23.7136 -2.66056
[MJ2006] J162024.4+173344.9                   16.3401 17.5625
[MJ2006] J214801.8+065743.9                   21.8005 6.96222
[SJ2007] LAB                                  17.1645 59.2227
[MJ2006] J092003.1+510919.0                   9.33419 51.1553
[MJ2006] J234305.5-032132.0                   23.7182 -2.64111
[MJ2006] J101009.7+413216.5                   10.1694 41.5381
[MJ2006] J041700.2-055323.3                   4.28339 -4.11028
[SBJ98] Lens G                                19.5753 50.4232
[MJ2006] J171923.0+480128.2                   17.3231 48.0244
[MJ2006] J230458.8+031014.0                   23.083 3.17056
[MJ2006] J225349.3+160842.9                   22.897 16.1453
[MJ2006] J020154.4-112957.9                   2.03178 -10.5006
[MJ2006] J011029.5-021955.8                   1.17486 -1.66778
[MJ2006] J101014.5+413006.0                   10.1707 41.5017
[MJ2006] J234258.3-032513.5                   23.7162 -2.57972
[MJ2006] J214811.9+065447.5                   21.8033 6.91306
[MJ2006] J100247.2+681036.9                   10.0464 68.1769
[MJ2006] J230451.5+031201.6                   23.081 3.20056
[MJ2006] J020212.4-113158.4                   2.03678 -10.4672
[MJ2006] J214752.9+065713.1                   21.798 6.95361
[MJ2006] J234622.3+092745.9                   23.7729 9.46278
[MJ2006] J214809.6+065458.8                   21.8027 6.91639
[MJ2006] J011029.5-022004.9                   1.17486 -1.66528
[MJ2006] J012543.3-000507.5                   1.42869 0.0852778
[MJ2006] J230440.4+031001.7                   23.0779 3.16722
[MJ2006] J011004.6-021724.6                   1.16794 -1.70972
[MJ2006] J092019.7+510629.6                   9.33881 51.1083
[CAD98] F8D1                                  9.74642 67.4386
[MJ2006] J092006.8+510447.8                   9.33522 51.08
[MJ2006] J234626.8+093248.7                   23.7741 9.54694
[MDL92] TDG                                   12.0238 -18.9883
[MJ2006] J225347.4+160654.6                   22.8965 16.1153
[MJ2006] J234653.7+093214.6                   23.7816 9.5375
